account_id,security_id,asset_class,quantity,price,market_value,currency,price_date
ACC-10008,US0000001006,Equity,3734.0,129.997,485408.8,EUR,2024-01-15
ACC-10007,US0000001139,Equity,526.0,216.7417,114006.13,USD,2024-01-15
ACC-10014,US0000001059,Equity,2576.0,23.0026,59254.7,EUR,2024-01-15
ACC-10035,US0000001107,Equity,1180.0,298.7402,352513.44,USD,2024-01-15
ACC-10028,US0000001087,Bond,1462.0,115.5037,168866.41,USD,2024-01-15
ACC-10006,US0000001097,ETF,574.0,425.2722,244106.24,GBP,2024-01-15
ACC-10003,US0000001117,Bond,2728.0,486.8267,1328063.24,USD,2024-01-15
ACC-10036,US0000001075,Bond,4164.0,313.0747,1303643.05,EUR,2024-01-15
ACC-10013,US0000001017,Bond,325.0,121.6702,39542.81,USD,2024-01-15
ACC-10015,US0000001025,Bond,1963.0,232.171,455751.67,USD,2024-01-15
ACC-10024,US0000001090,ETF,1127.0,140.8191,168640.69153127618,EUR,2024-01-15
ACC-10005,US0000001043,Bond,2717.0,129.9574,353094.26,GBP,2024-01-15
ACC-10018,US0000001142,Equity,1176.0,168.8985,198624.64,USD,2024-01-15
ACC-10003,US0000001080,ETF,2066.0,42.4324,87665.34,EUR,2024-01-15
ACC-10021,US0000001054,ETF,3312.0,203.8596,675183.0,GBP,2024-01-15
ACC-10010,US0000001067,ETF,784.0,375.0446,294034.97,GBP,2024-01-15
ACC-10038,US0000001109,Equity,4499.0,205.7062,925472.19,USD,2024-01-15
ACC-10033,US0000001126,Equity,545.0,33.087,18032.42,USD,2024-01-15
ACC-10011,US0000001108,ETF,3022.0,198.536,599975.79,GBP,2024-01-15
ACC-10034,US0000001064,Equity,4858.0,431.7821,2097597.44,EUR,2024-01-15
ACC-10008,US0000001137,Bond,3779.0,386.6134,1461012.04,USD,2024-01-15
ACC-10019,US0000001111,ETF,875.0,11.5902,10141.42,EUR,2024-01-15
ACC-10017,US0000001128,Equity,3834.0,258.764,992101.18,EUR,2024-01-15
ACC-10020,US0000001129,Equity,3084.0,84.8912,261804.46,EUR,2024-01-15
ACC-10034,US0000001000,Equity,3035.0,249.4168,756979.99,GBP,2024-01-15
ACC-10020,US0000001061,Equity,384.0,440.2247,169046.28,USD,2024-01-15
ACC-10032,US0000001017,Equity,4892.0,271.026,1325859.19,USD,2024-01-15
ACC-10031,US0000001140,ETF,909.0,268.5602,244121.22,GBP,2024-01-15
ACC-10014,US0000001138,ETF,3801.0,348.0351,1322881.42,GBP,2024-01-15
ACC-10026,US0000001095,Equity,2247.0,263.6122,592336.61,USD,2024-01-15
ACC-10015,US0000001016,Equity,1757.0,298.2713,524062.67,EUR,2024-01-15
ACC-10015,US0000001001,Equity,448.0,319.2404,143019.7,USD,2024-01-15
ACC-10003,US0000001084,ETF,447.0,126.6223,56600.17,GBP,2024-01-15
ACC-10031,US0000001062,Equity,3945.0,405.6735,1600381.96,USD,2024-01-15
,US0000001110,ETF,1836.0,211.4401,388204.02,USD,2024-01-15
ACC-10007,US0000001015,Equity,2073.0,176.2583,365383.46,USD,2024-01-15
ACC-10013,US0000001048,Equity,2728.0,78.6893,214664.41,GBP,2024-01-15
ACC-10030,US0000001063,ETF,4385.0,46.9386,205825.76,USD,2024-01-15
ACC-10004,US0000001138,Equity,4197.0,484.8082,2034740.02,USD,2024-01-15
ACC-10027,US0000001124,Equity,2459.0,433.6787,1066415.92,USD,2024-01-15
ACC-10025,US0000001000,Bond,4928.0,139.9495,689671.14,GBP,2024-01-15
ACC-10028,US0000001142,Equity,3343.0,248.469,830631.87,GBP,2024-01-15
ACC-10014,US0000001014,ETF,2938.0,275.6756,809934.91,GBP,2024-01-15
ACC-10004,US0000001012,ETF,2962.0,256.3967,759447.03,USD,2024-01-15
ACC-10004,US0000001130,ETF,493.0,101.0542,49819.72,USD,2024-01-15
ACC-10016,US0000001103,Equity,687.0,446.2408,306567.43,EUR,2024-01-15
ACC-10039,US0000001010,ETF,3135.0,215.4202,675342.33,EUR,2024-01-15
ACC-10034,US0000001080,ETF,4680.0,110.087,515207.16,GBP,2024-01-15
ACC-10016,US0000001067,Bond,2039.0,339.1282,691482.4,GBP,2024-01-15
ACC-10021,US0000001018,ETF,146.0,314.368,45897.73,USD,2024-01-15
ACC-10005,US0000001137,Bond,1144.0,139.9482,160100.74,USD,2024-01-15
ACC-10016,US0000001094,ETF,1496.0,224.7104,336166.76,EUR,2024-01-15
ACC-10020,US0000001135,Bond,138.0,410.381,56632.58,EUR,2024-01-15
ACC-10007,US0000001034,ETF,1396.0,445.9592,622559.04,EUR,2024-01-15
ACC-10010,US0000001069,Bond,1481.0,113.2085,167661.79,USD,2024-01-15
ACC-10017,US0000001129,Equity,2494.0,453.6149,1131315.56,USD,2024-01-15
ACC-10028,US0000001070,Equity,316.0,173.4427,54807.89,EUR,2024-01-15
ACC-10017,US0000001041,Bond,3732.0,280.3234,1046166.93,EUR,2024-01-15
ACC-10001,US0000001028,Equity,469.0,442.7221,225607.63744662478,EUR,2024-01-15
ACC-10003,US0000001094,Equity,2954.0,82.566,243899.96,USD,2024-01-15
ACC-10020,US0000001093,Equity,4505.0,400.0999,1802450.05,GBP,2024-01-15
ACC-10014,US0000001063,ETF,3368.0,183.3025,617362.82,GBP,2024-01-15
ACC-10040,US0000001039,Equity,4636.0,126.0013,584142.03,USD,2024-01-15
ACC-10027,US0000001006,Bond,979.0,462.9988,453275.83,EUR,2024-01-15
ACC-10016,US0000001068,Bond,880.0,353.6263,311191.14,USD,2024-01-15
ACC-10031,US0000001056,Bond,1078.0,460.0414,495924.63,GBP,2024-01-15
ACC-10015,US0000001057,Bond,216.0,104.6336,22600.86,GBP,2024-01-15
ACC-10005,US0000001071,ETF,1821.0,259.6088,472747.62,EUR,2024-01-15
ACC-10022,US0000001007,Equity,665.0,485.4963,322855.04,EUR,2024-01-15
ACC-10017,US0000001009,ETF,631.0,222.9362,140672.74,GBP,2024-01-15
ACC-10028,US0000001130,Equity,667.0,450.7573,300655.12,GBP,2024-01-15
