isin,close_price,bid_price,ask_price,volume,price_date,price_currency
US0000001000,389.2385,389.189,389.3258,521133.0,2024-01-15,USD
US0000001001,56.1469,56.97102695638745,56.2254,3517103.0,2024-01-15,USD
US0000001002,395.1715,395.15,395.222,2551724.0,2024-01-15,USD
US0000001003,464.1148,464.0469,464.1988,1916910.0,2024-01-15,USD
US0000001004,227.273,227.2425,227.3329,4450660.0,2024-01-15,USD
US0000001005,415.5393,415.4725,415.6175,412704.0,2024-01-15,USD
US0000001006,183.7177,183.6203,183.8081,3421803.0,2024-01-15,USD
US0000001007,105.373,105.321,105.3869,3914079.0,2024-01-15,USD
US0000001008,85.6019,85.5304,85.6789,1896549.0,2024-01-15,USD
US0000001009,169.6544,169.6111,169.7067,4840797.0,2024-01-15,USD
US0000001010,102.841,102.8193,102.8938,1717962.0,2024-01-15,USD
US0000001011,,338.1596,338.2938,1211855.0,2024-01-15,USD
US0000001012,353.1299,353.0918,353.2148,2232561.0,2024-01-15,USD
US0000001013,199.8644,199.8285,199.9358,4043345.0,2024-01-15,USD
US0000001014,78.4787,78.4507,78.4894,4004528.0,2024-01-15,USD
US0000001015,335.7769,335.7034,335.8572,3955929.0,2024-01-15,USD
US0000001016,234.8687,234.8075,234.8913,1302857.0,2024-01-15,USD
US0000001017,337.5175,337.4651,337.5784,661197.0,2024-01-15,USD
US0000001018,384.8494,384.7823,384.9092,543775.0,2024-01-15,USD
US0000001019,158.9355,158.9227,158.9848,2840115.0,2024-01-15,USD
US0000001020,115.1465,115.0997,115.2333,269995.0,2024-01-15,USD
US0000001021,-7.189,38.533,38.6047,1246303.0,2024-01-15,USD
US0000001022,334.3391,334.279,334.4197,4980923.0,2024-01-15,USD
US0000001023,209.1296,209.0463,209.1546,3355136.0,2024-01-15,USD
US0000001024,21.1289,21.1108,21.2039,3514176.0,2024-01-15,USD
US0000001025,89.0232,88.9681,89.0469,2363198.0,2024-01-15,USD
US0000001026,351.197,351.1468,351.2413,1269954.0,2024-01-15,USD
US0000001027,318.8385,318.7959,318.8564,1577409.0,2024-01-15,USD
US0000001028,67.8229,67.7263,67.9147,2525821.0,2024-01-15,USD
US0000001029,140.2763,140.1791,140.3564,3528564.0,2024-01-15,USD
US0000001030,361.2762,361.2258,361.3107,488342.0,2024-01-15,USD
US0000001031,452.2752,452.2242,452.3034,572315.0,2024-01-15,USD
US0000001032,159.9187,159.8566,159.9446,2369708.0,2024-01-15,USD
US0000001033,381.6746,381.5998,381.7235,4297409.0,2024-01-15,USD
US0000001034,317.3813,317.3187,317.4498,3180851.0,2024-01-15,USD
US0000001035,213.7456,213.7319,213.8001,513777.0,2024-01-15,USD
US0000001036,171.632,171.609,171.6513,958407.0,2024-01-15,USD
US0000001037,93.5906,93.4973,93.6529,2979458.0,2024-01-15,USD
US0000001038,179.9662,179.903,179.9783,842341.0,2024-01-15,USD
US0000001039,246.3287,246.2483,246.3461,4796940.0,2024-01-15,USD
