account_id,isin,transaction_type,trade_date,settlement_date,quantity,trade_price,gross_amount,commission,net_amount,currency
ACC-10004,US0000001023,BUY,2024-01-15,2024-01-17,849.0,32.252,27381.95,27.38,27409.33,USD
ACC-10040,US0000001038,BUY,2024-01-15,2024-01-17,556.0,144.1864,80167.64,80.17,80247.81,USD
ACC-10029,US0000001036,SELL,2024-01-15,2024-01-17,687.0,103.2428,70927.8,70.93,70998.73,USD
ACC-10033,US0000001009,SELL,2024-01-15,2024-01-17,962.0,140.6517,135306.94,135.31,135442.25,USD
ACC-10006,US0000001032,SELL,2024-01-15,2024-01-17,682.0,21.3512,14561.52,14.56,14576.08,USD
ACC-10029,US0000001033,SELL,2024-01-15,2024-01-17,570.0,56.0364,31940.75,31.94,31972.69,USD
ACC-10019,US0000001024,BUY,2024-01-15,2024-01-17,468.0,108.1265,50603.2,50.6,50653.8,USD
ACC-10022,US0000001004,SELL,2024-01-15,2024-01-17,397.0,171.8093,68208.29,68.21,68276.5,USD
ACC-10019,US0000001016,UNKNOWN,2024-01-15,2024-01-17,751.0,200.4036,150503.1,150.5,150653.6,USD
ACC-10022,US0000001005,SELL,2024-01-15,2024-01-17,624.0,51.0142,31832.86,31.83,31864.69,USD
ACC-10020,US0000001041,BUY,2024-01-15,2024-01-17,729.0,123.6678,90153.83,90.15,90243.98,USD
ACC-10020,US0000001035,BUY,2024-01-15,2024-01-17,439.0,239.582,105176.5,105.18,105281.68,USD
ACC-10034,US0000001005,SELL,2024-01-15,2024-01-17,681.0,132.7878,90428.49,90.43,90518.92,USD
ACC-10002,US0000001023,SELL,2024-01-15,2024-01-17,378.0,285.8391,108047.18,108.05,108155.23,USD
ACC-10032,US0000001012,BUY,2024-01-15,2024-01-17,304.0,49.894,15167.78,15.17,15182.95,USD
ACC-10019,US0000001006,BUY,2024-01-15,2024-01-17,557.0,166.5335,92759.16,92.76,92851.92,USD
ACC-10022,US0000001049,BUY,2024-01-15,2024-01-17,656.0,183.2015,120180.18,120.18,120300.36,USD
ACC-10011,US0000001011,BUY,2024-01-15,2024-01-17,848.0,233.6184,198108.4,198.11,198306.51,USD
ACC-10029,US0000001002,BUY,2024-01-15,2024-01-17,470.0,206.1452,96888.24,96.89,96985.13,USD
ACC-10029,US0000001039,SELL,2024-01-15,2024-01-17,356.0,227.0756,80838.91,80.84,80919.75,USD
ACC-10015,US0000001034,SELL,2024-01-15,2024-01-17,315.0,290.023,91357.25,91.36,91448.61,USD
ACC-10013,US0000001023,SELL,2024-01-15,2024-01-17,710.0,175.4216,124549.34,124.55,124673.89,USD
ACC-10030,US0000001049,SELL,2024-01-15,2024-01-17,354.0,120.743,42743.02,42.74,42785.76,USD
